"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Foreign born; Entered 2010 or later!!Estimate","United States!!Foreign born; Entered 2010 or later!!Margin of Error","United States!!Foreign born; Entered 2000 to 2009!!Estimate","United States!!Foreign born; Entered 2000 to 2009!!Margin of Error","United States!!Foreign born; Entered before 2000!!Estimate","United States!!Foreign born; Entered before 2000!!Margin of Error"
"        Widowed","5.3%","±0.1","2.8%","±0.1","2.4%","±0.1","7.2%","±0.1"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","5,650,764","±18,682","2,064,618","±14,364","2,360,122","±14,462","1,226,024","±11,689"
"        Nursery school, preschool","1.6%","±0.1","4.2%","±0.1","0.2%","±0.1","0.0%","±0.1"
"        Elementary school (grades K-8)","22.6%","±0.2","30.9%","±0.3","26.5%","±0.3","1.0%","±0.1"
"        High school (grades 9-12)","20.7%","±0.1","16.5%","±0.2","27.4%","±0.2","14.7%","±0.2"
"        College or graduate school","55.1%","±0.2","48.3%","±0.3","45.8%","±0.2","84.2%","±0.2"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","37,442,575","±105,182","4,270,442","±24,716","9,452,239","±45,512","23,719,894","±53,377"
"        Less than high school graduate","29.0%","±0.1","20.3%","±0.2","30.1%","±0.2","30.2%","±0.1"
"        High school graduate (includes equivalency)","22.4%","±0.1","19.5%","±0.2","23.4%","±0.2","22.6%","±0.1"
"        Some college or associate's degree","18.9%","±0.1","15.0%","±0.2","16.9%","±0.1","20.4%","±0.1"
"        Bachelor's degree","17.0%","±0.1","25.3%","±0.2","16.8%","±0.1","15.6%","±0.1"
"        Graduate or professional degree","12.7%","±0.1","19.9%","±0.2","12.9%","±0.2","11.3%","±0.1"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","",""
"    Population 5 years and over","42,745,520","±122,933","6,357,863","±37,886","11,882,295","±56,087","24,505,362","±53,176"
"        English only","16.1%","±0.1","12.5%","±0.1","12.2%","±0.1","18.9%","±0.1"
"        Language other than English","83.9%","±0.1","87.5%","±0.1","87.8%","±0.1","81.1%","±0.1"
"            Speak English less than ""very well""","48.9%","±0.1","55.8%","±0.2","52.0%","±0.2","45.7%","±0.1"
"EMPLOYMENT STATUS","","","","","","","",""
"    Population 16 years and over","41,070,485","±119,497","5,559,057","±33,537","11,030,124","±53,752","24,481,304","±53,181"
"        In labor force","66.3%","±0.1","59.1%","±0.2","72.5%","±0.1","65.1%","±0.1"
"            Civilian labor force","66.1%","±0.1","59.0%","±0.2","72.3%","±0.1","65.0%","±0.1"
"                Employed","62.3%","±0.1","54.2%","±0.2","68.0%","±0.1","61.6%","±0.1"
"                Unemployed","3.8%","±0.1","4.8%","±0.1","4.3%","±0.1","3.4%","±0.1"
"                    Percent of civilian labor force","5.8%","±0.1","8.2%","±0.1","5.9%","±0.1","5.2%","±0.1"
"            Armed Forces","0.1%","±0.1","0.1%","±0.1","0.2%","±0.1","0.1%","±0.1"
"        Not in labor force","33.7%","±0.1","40.9%","±0.2","27.5%","±0.1","34.9%","±0.1"
"Civilian employed population 16 years and over","25,598,320","±67,243","3,010,732","±19,208","7,503,683","±34,447","15,083,905","±33,527"
"    CLASS OF WORKER","","","","","","","",""
"        Private wage and salary workers","83.7%","±0.1","88.2%","±0.2","86.9%","±0.1","81.2%","±0.1"
"        Government workers","8.4%","±0.1","6.9%","±0.1","5.8%","±0.1","10.0%","±0.1"
"        Self-employed workers in own not incorporated business","7.7%","±0.1","4.7%","±0.1","7.1%","±0.1","8.5%","±0.1"
"        Unpaid family workers","0.2%","±0.1","0.2%","±0.1","0.2%","±0.1","0.2%","±0.1"
"    OCCUPATION","","","","","","","",""
"        Management, business, science, and arts occupations","31.3%","±0.2","36.3%","±0.3","27.7%","±0.3","32.1%","±0.2"
"        Service occupations","24.0%","±0.1","24.1%","±0.3","27.3%","±0.2","22.4%","±0.1"
"        Sales and office occupations","16.8%","±0.1","15.2%","±0.2","15.4%","±0.1","17.8%","±0.1"
"        Natural resources, construction, and maintenance occupations","12.8%","±0.1","11.1%","±0.2","15.1%","±0.1","12.0%","±0.1"
"        Production, transportation, and material moving occupations","15.0%","±0.1","13.2%","±0.2","14.5%","±0.1","15.6%","±0.1"
"    INDUSTRY","","","","","","","",""
"        Agriculture, forestry, fishing and hunting, and mining","2.6%","±0.1","2.8%","±0.1","3.0%","±0.1","2.3%","±0.1"
"        Construction","9.2%","±0.1","7.8%","±0.2","11.2%","±0.1","8.4%","±0.1"
"        Manufacturing","11.4%","±0.1","11.0%","±0.1","10.4%","±0.1","12.0%","±0.1"
"        Wholesale trade","2.8%","±0.1","2.4%","±0.1","2.5%","±0.1","3.0%","±0.1"
"        Retail trade","9.3%","±0.1","9.7%","±0.2","9.6%","±0.1","9.1%","±0.1"
"        Transportation and warehousing, and utilities","5.2%","±0.1","4.3%","±0.1","4.5%","±0.1","5.7%","±0.1"
"        Information","1.6%","±0.1","2.0%","±0.1","1.5%","±0.1","1.6%","±0.1"
"        Finance and insurance, and real estate and rental and leasing","5.3%","±0.1","4.5%","±0.1","4.4%","±0.1","6.0%","±0.1"
"        Professional, scientific, and management, and administrative and waste management services","13.0%","±0.1","16.6%","±0.2","13.4%","±0.1","12.2%","±0.1"
"        Educational services, and health care and social assistance","19.1%","±0.1","18.2%","±0.2","17.1%","±0.1","20.3%","±0.1"
"        Arts, entertainment, and recreation, and accommodation and food services","11.8%","±0.1","13.5%","±0.2","14.6%","±0.1","10.0%","±0.1"
"        Other services (except public administration)","6.3%","±0.1","5.5%","±0.1","6.5%","±0.1","6.4%","±0.1"
"        Public administration","2.3%","±0.1","1.5%","±0.1","1.4%","±0.1","2.9%","±0.1"
"EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS","","","","","","","",""
"    Population 16 years and over with earnings","18,369,817","±65,938","1,860,761","±15,701","5,229,922","±30,337","11,279,134","±34,190"
"        $1 to $9,999 or loss","2.0%","±0.1","2.9%","±0.1","2.2%","±0.1","1.7%","±0.1"
"        $10,000 to $14,999","5.1%","±0.1","6.8%","±0.1","6.6%","±0.1","4.2%","±0.1"
"        $15,000 to $24,999","19.4%","±0.1","23.1%","±0.3","24.5%","±0.2","16.5%","±0.1"
"        $25,000 to $34,999","17.9%","±0.1","16.5%","±0.2","19.7%","±0.2","17.4%","±0.1"
"        $35,000 to $49,999","17.5%","±0.1","13.5%","±0.2","16.2%","±0.1","18.7%","±0.1"
"        $50,000 to $74,999","16.4%","±0.1","14.7%","±0.2","13.2%","±0.1","18.2%","±0.1"
"        $75,000 or more","21.6%","±0.1","22.5%","±0.3","17.6%","±0.2","23.4%","±0.1"
"        Median earnings (dollars) for full-time, year-round workers:","","","","","","","",""
"            Male","40,772","±123","37,840","±605","33,818","±283","44,504","±254"
"            Female","35,569","±122","30,924","±239","30,875","±164","37,914","±239"
"INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)","","","","","","","",""
"    Households","17,547,671","±24,509","1,636,810","±8,222","4,023,576","±15,685","11,887,285","±17,751"
"        With earnings","85.7%","±0.1","86.4%","±0.2","94.5%","±0.1","82.6%","±0.1"
"            Mean earnings (dollars)","81,745","±208","75,139","±570","73,473","±359","85,901","±235"
"        With Social Security income","20.4%","±0.1","3.9%","±0.1","5.3%","±0.1","27.7%","±0.1"
"            Mean Social Security income (dollars)","16,328","±35","13,747","±352","11,685","±142","16,681","±34"
"        With Supplemental Security Income","5.2%","±0.1","2.0%","±0.1","2.7%","±0.1","6.5%","±0.1"
"            Mean Supplemental Security Income (dollars)","8,985","±40","10,098","±301","9,091","±103","8,923","±43"
"        With cash public assistance income","2.9%","±0.1","2.5%","±0.1","3.0%","±0.1","3.0%","±0.1"
"            Mean cash public assistance income (dollars)","3,621","±41","4,008","±161","3,666","±77","3,562","±51"
"        With retirement income","8.7%","±0.1","2.3%","±0.1","2.1%","±0.1","11.8%","±0.1"
"            Mean retirement income (dollars)","23,084","±211","29,946","±1,995","19,103","±773","23,138","±220"
"        With Food Stamp/SNAP benefits","15.7%","±0.1","12.9%","±0.2","19.2%","±0.2","15.0%","±0.1"
"        Median Household income (dollars)","53,420","±159","45,945","±403","48,136","±230","56,672","±179"
"        Average number of workers per household","1.52","±0.01","1.34","±0.01","1.64","±0.01","1.51","±0.01"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","",""
"    Population for whom poverty status is determined","42,454,801","±123,773","6,435,556","±38,555","11,760,229","±56,369","24,259,016","±53,314"
"        Below 100 percent of the poverty level","17.2%","±0.1","25.9%","±0.2","19.7%","±0.2","13.6%","±0.1"
"        100 to 199 percent of the poverty level","22.9%","±0.1","22.7%","±0.2","26.4%","±0.2","21.3%","±0.1"
"        At or above 200 percent of the poverty level","59.9%","±0.1","51.4%","±0.3","53.9%","±0.2","65.1%","±0.1"
"    POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED","","","","","","","",""
"        All families","15.9%","±0.1","22.9%","±0.3","22.0%","±0.2","13.0%","±0.1"
"            With related children of the householder under 18 years","21.3%","±0.2","27.0%","±0.4","26.8%","±0.3","17.9%","±0.2"
"            With related children of the householder under 5 years only","16.3%","±0.3","21.1%","±0.7","19.0%","±0.5","11.8%","±0.3"
"        Married-couple family","11.5%","±0.1","17.9%","±0.4","15.8%","±0.2","9.3%","±0.1"
"            With related children of the householder under 18 years","14.7%","±0.2","20.3%","±0.5","18.6%","±0.3","12.1%","±0.1"
"            With related children of the householder under 5 years only","10.5%","±0.2","15.4%","±0.7","11.7%","±0.5","7.0%","±0.3"
"        Female householder, no husband present, family","32.1%","±0.2","48.4%","±0.9","44.8%","±0.4","26.0%","±0.3"
"            With related children of the householder under 18 years","42.7%","±0.3","56.1%","±1.1","52.5%","±0.5","36.4%","±0.4"
"            With related children of the householder under 5 years only","39.4%","±0.8","56.3%","±2.6","47.7%","±1.2","28.2%","±1.0"
"Occupied housing units","17,547,671","±24,509","1,636,810","±8,222","4,023,576","±15,685","11,887,285","±17,751"
"    HOUSING TENURE","","","","","","","",""
"        Owner-occupied housing units","51.7%","±0.2","18.1%","±0.2","35.4%","±0.3","61.9%","±0.2"
"        Renter-occupied housing units","48.3%","±0.2","81.9%","±0.2","64.6%","±0.3","38.1%","±0.2"
"        Average household size of owner-occupied unit","3.48","±0.01","3.36","±0.02","3.84","±0.02","3.42","±0.01"
"        Average household size of renter-occupied unit","3.18","±0.01","2.89","±0.02","3.44","±0.02","3.11","±0.01"
"    ROOMS","","","","","","","",""
"        1 room","3.1%","±0.1","6.4%","±0.1","3.6%","±0.1","2.5%","±0.1"
"        2 or 3 rooms","17.3%","±0.1","33.2%","±0.3","21.6%","±0.2","13.6%","±0.1"
"        4 or 5 rooms","41.4%","±0.1","42.0%","±0.3","46.6%","±0.2","39.6%","±0.1"
"        6 or 7 rooms","24.9%","±0.1","12.5%","±0.2","19.6%","±0.2","28.3%","±0.1"
"        8 or more rooms","13.3%","±0.1","5.9%","±0.1","8.6%","±0.1","15.9%","±0.1"
"    Median number of rooms","4.9","±0.1","3.9","±0.1","4.4","±0.1","5.2","±0.1"
"    1.01 or more occupants per room","11.4%","±0.1","13.3%","±0.2","16.1%","±0.1","9.5%","±0.1"
"    VEHICLES AVAILABLE","","","","","","","",""
"        None","12.5%","±0.1","21.4%","±0.3","12.4%","±0.1","11.2%","±0.1"
"        1 or more","87.5%","±0.1","78.6%","±0.3","87.6%","±0.1","88.8%","±0.1"
"    SELECTED CHARACTERISTICS","","","","","","","",""
"        No telephone service available","2.6%","±0.1","5.9%","±0.2","3.2%","±0.1","2.0%","±0.1"
"        Limited English Speaking Households","26.3%","±0.1","37.3%","±0.3","35.2%","±0.2","21.7%","±0.1"
"Owner-occupied housing units","9,075,942","±35,180","295,838","±3,857","1,424,254","±10,010","7,355,850","±28,050"
"    SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","",""
"        Less than 30 percent","67.0%","±0.2","69.6%","±0.6","68.0%","±0.3","66.6%","±0.2"
"        30 percent or more","33.0%","±0.2","30.4%","±0.6","32.0%","±0.3","33.4%","±0.2"
"Renter-occupied housing units","8,471,729","±43,748","1,340,972","±8,175","2,599,322","±17,394","4,531,435","±27,286"
"    GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","",""
"        Less than 30 percent","48.5%","±0.1","54.3%","±0.3","47.6%","±0.3","47.3%","±0.2"
"        30 percent or more","51.5%","±0.1","45.7%","±0.3","52.4%","±0.3","52.7%","±0.2"
