"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Native!!Estimate","United States!!Native!!Margin of Error","United States!!Foreign born!!Estimate","United States!!Foreign born!!Margin of Error","United States!!Foreign born; Naturalized citizen!!Estimate","United States!!Foreign born; Naturalized citizen!!Margin of Error","United States!!Foreign born; Not a U.S. citizen!!Estimate","United States!!Foreign born; Not a U.S. citizen!!Margin of Error"
"        Bachelor's degree","19.1%","±0.1","19.6%","±0.1","17.0%","±0.1","20.6%","±0.1","13.3%","±0.1"
"        Graduate or professional degree","11.8%","±0.1","11.6%","±0.1","12.7%","±0.1","14.5%","±0.1","10.7%","±0.1"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","","","",""
"    Population 5 years and over","301,150,892","±3,777","258,405,372","±125,310","42,745,520","±122,933","20,646,730","±32,346","22,098,790","±128,141"
"        English only","78.7%","±0.1","89.0%","±0.1","16.1%","±0.1","21.0%","±0.1","11.4%","±0.1"
"        Language other than English","21.3%","±0.1","11.0%","±0.1","83.9%","±0.1","79.0%","±0.1","88.6%","±0.1"
"            Speak English less than ""very well""","8.5%","±0.1","1.8%","±0.1","48.9%","±0.1","38.0%","±0.1","59.2%","±0.1"
"EMPLOYMENT STATUS","","","","","","","","","",""
"    Population 16 years and over","255,797,692","±17,051","214,727,207","±130,184","41,070,485","±119,497","20,196,376","±30,868","20,874,109","±121,540"
"        In labor force","63.4%","±0.1","62.9%","±0.1","66.3%","±0.1","65.4%","±0.1","67.1%","±0.1"
"            Civilian labor force","63.0%","±0.1","62.4%","±0.1","66.1%","±0.1","65.1%","±0.1","67.1%","±0.1"
"                Employed","58.9%","±0.1","58.2%","±0.1","62.3%","±0.1","62.0%","±0.1","62.6%","±0.1"
"                Unemployed","4.1%","±0.1","4.2%","±0.1","3.8%","±0.1","3.1%","±0.1","4.5%","±0.1"
"                    Percent of civilian labor force","6.6%","±0.1","6.7%","±0.1","5.8%","±0.1","4.8%","±0.1","6.6%","±0.1"
"            Armed Forces","0.4%","±0.1","0.5%","±0.1","0.1%","±0.1","0.2%","±0.1","0.0%","±0.1"
"        Not in labor force","36.6%","±0.1","37.1%","±0.1","33.7%","±0.1","34.6%","±0.1","32.9%","±0.1"
"Civilian employed population 16 years and over","150,599,165","±138,066","125,000,845","±198,845","25,598,320","±67,243","12,524,324","±26,558","13,073,996","±74,922"
"    CLASS OF WORKER","","","","","","","","","",""
"        Private wage and salary workers","80.0%","±0.1","79.3%","±0.1","83.7%","±0.1","80.6%","±0.1","86.7%","±0.1"
"        Government workers","13.8%","±0.1","15.0%","±0.1","8.4%","±0.1","12.1%","±0.1","4.9%","±0.1"
"        Self-employed workers in own not incorporated business","6.0%","±0.1","5.6%","±0.1","7.7%","±0.1","7.1%","±0.1","8.2%","±0.1"
"        Unpaid family workers","0.2%","±0.1","0.2%","±0.1","0.2%","±0.1","0.2%","±0.1","0.2%","±0.1"
"    OCCUPATION","","","","","","","","","",""
"        Management, business, science, and arts occupations","37.4%","±0.1","38.7%","±0.1","31.3%","±0.2","39.5%","±0.2","23.5%","±0.2"
"        Service occupations","18.0%","±0.1","16.7%","±0.1","24.0%","±0.1","19.9%","±0.1","28.0%","±0.2"
"        Sales and office occupations","23.5%","±0.1","24.9%","±0.1","16.8%","±0.1","20.1%","±0.1","13.6%","±0.1"
"        Natural resources, construction, and maintenance occupations","8.9%","±0.1","8.1%","±0.1","12.8%","±0.1","7.1%","±0.1","18.3%","±0.1"
"        Production, transportation, and material moving occupations","12.2%","±0.1","11.6%","±0.1","15.0%","±0.1","13.4%","±0.1","16.6%","±0.1"
"    INDUSTRY","","","","","","","","","",""
"        Agriculture, forestry, fishing and hunting, and mining","1.9%","±0.1","1.7%","±0.1","2.6%","±0.1","1.1%","±0.1","4.1%","±0.1"
"        Construction","6.4%","±0.1","5.8%","±0.1","9.2%","±0.1","5.0%","±0.1","13.2%","±0.1"
"        Manufacturing","10.3%","±0.1","10.0%","±0.1","11.4%","±0.1","11.2%","±0.1","11.6%","±0.1"
"        Wholesale trade","2.7%","±0.1","2.7%","±0.1","2.8%","±0.1","2.8%","±0.1","2.8%","±0.1"
"        Retail trade","11.4%","±0.1","11.8%","±0.1","9.3%","±0.1","9.8%","±0.1","8.8%","±0.1"
"        Transportation and warehousing, and utilities","5.1%","±0.1","5.1%","±0.1","5.2%","±0.1","6.2%","±0.1","4.1%","±0.1"
"        Information","2.1%","±0.1","2.2%","±0.1","1.6%","±0.1","1.9%","±0.1","1.4%","±0.1"
"        Finance and insurance, and real estate and rental and leasing","6.6%","±0.1","6.8%","±0.1","5.3%","±0.1","7.0%","±0.1","3.7%","±0.1"
"        Professional, scientific, and management, and administrative and waste management services","11.3%","±0.1","10.9%","±0.1","13.0%","±0.1","11.8%","±0.1","14.2%","±0.1"
"        Educational services, and health care and social assistance","23.1%","±0.1","23.9%","±0.1","19.1%","±0.1","24.9%","±0.1","13.6%","±0.1"
"        Arts, entertainment, and recreation, and accommodation and food services","9.7%","±0.1","9.3%","±0.1","11.8%","±0.1","8.8%","±0.1","14.6%","±0.1"
"        Other services (except public administration)","4.9%","±0.1","4.6%","±0.1","6.3%","±0.1","5.9%","±0.1","6.8%","±0.1"
"        Public administration","4.7%","±0.1","5.1%","±0.1","2.3%","±0.1","3.7%","±0.1","1.0%","±0.1"
"EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS","","","","","","","","","",""
"    Population 16 years and over with earnings","106,442,003","±65,964","88,072,186","±114,287","18,369,817","±65,938","9,359,240","±23,604","9,010,577","±61,384"
"        $1 to $9,999 or loss","1.7%","±0.1","1.7%","±0.1","2.0%","±0.1","1.5%","±0.1","2.5%","±0.1"
"        $10,000 to $14,999","3.5%","±0.1","3.2%","±0.1","5.1%","±0.1","3.2%","±0.1","7.2%","±0.1"
"        $15,000 to $24,999","13.2%","±0.1","11.8%","±0.1","19.4%","±0.1","12.7%","±0.1","26.5%","±0.2"
"        $25,000 to $34,999","15.9%","±0.1","15.5%","±0.1","17.9%","±0.1","15.5%","±0.1","20.4%","±0.1"
"        $35,000 to $49,999","20.0%","±0.1","20.5%","±0.1","17.5%","±0.1","18.9%","±0.1","15.9%","±0.1"
"        $50,000 to $74,999","21.7%","±0.1","22.8%","±0.1","16.4%","±0.1","20.4%","±0.1","12.3%","±0.1"
"        $75,000 or more","24.0%","±0.1","24.5%","±0.1","21.6%","±0.1","27.8%","±0.1","15.3%","±0.2"
"        Median earnings (dollars) for full-time, year-round workers:","","","","","","","","","",""
"            Male","50,859","±95","52,233","±83","40,772","±123","51,973","±120","32,340","±81"
"            Female","40,760","±65","41,360","±57","35,569","±122","41,933","±97","26,821","±102"
"INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","",""
"    Households","118,825,921","±229,026","101,278,250","±240,179","17,547,671","±24,509","9,890,993","±25,994","7,656,678","±33,753"
"        With earnings","77.7%","±0.1","76.4%","±0.1","85.7%","±0.1","82.0%","±0.1","90.4%","±0.1"
"            Mean earnings (dollars)","83,186","±163","83,466","±164","81,745","±208","94,393","±228","66,936","±234"
"        With Social Security income","30.6%","±0.1","32.3%","±0.1","20.4%","±0.1","29.3%","±0.1","8.8%","±0.1"
"            Mean Social Security income (dollars)","18,778","±17","19,045","±19","16,328","±35","16,939","±38","13,704","±81"
"        With Supplemental Security Income","5.4%","±0.1","5.4%","±0.1","5.2%","±0.1","6.9%","±0.1","3.1%","±0.1"
"            Mean Supplemental Security Income (dollars)","9,743","±16","9,870","±18","8,985","±40","9,002","±40","8,937","±89"
"        With cash public assistance income","2.6%","±0.1","2.5%","±0.1","2.9%","±0.1","2.8%","±0.1","3.1%","±0.1"
"            Mean cash public assistance income (dollars)","3,230","±18","3,150","±19","3,621","±41","3,345","±56","3,947","±56"
"        With retirement income","18.4%","±0.1","20.1%","±0.1","8.7%","±0.1","12.7%","±0.1","3.5%","±0.1"
"            Mean retirement income (dollars)","25,798","±45","26,001","±47","23,084","±211","23,617","±229","20,550","±501"
"        With Food Stamp/SNAP benefits","12.6%","±0.1","12.1%","±0.1","15.7%","±0.1","13.0%","±0.1","19.3%","±0.1"
"        Median Household income (dollars)","57,652","±138","58,432","±138","53,420","±159","63,346","±180","43,612","±162"
"        Average number of workers per household","1.24","±0.01","1.19","±0.01","1.52","±0.01","1.48","±0.01","1.58","±0.01"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","",""
"    Population for whom poverty status is determined","313,048,563","±10,099","270,593,762","±128,692","42,454,801","±123,773","20,508,177","±31,883","21,946,624","±128,842"
"        Below 100 percent of the poverty level","14.6%","±0.1","14.2%","±0.1","17.2%","±0.1","11.0%","±0.1","22.9%","±0.1"
"        100 to 199 percent of the poverty level","18.2%","±0.1","17.4%","±0.1","22.9%","±0.1","18.0%","±0.1","27.5%","±0.1"
"        At or above 200 percent of the poverty level","67.2%","±0.2","68.4%","±0.2","59.9%","±0.1","71.0%","±0.1","49.5%","±0.2"
"    POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED","","","","","","","","","",""
"        All families","10.5%","±0.1","9.4%","±0.1","15.9%","±0.1","9.6%","±0.1","24.0%","±0.2"
"            With related children of the householder under 18 years","16.7%","±0.1","15.5%","±0.1","21.3%","±0.2","12.6%","±0.1","29.4%","±0.2"
"            With related children of the householder under 5 years only","16.2%","±0.2","16.2%","±0.2","16.3%","±0.3","10.0%","±0.3","21.1%","±0.4"
"        Married-couple family","5.3%","±0.1","4.0%","±0.1","11.5%","±0.1","7.1%","±0.1","17.8%","±0.2"
"            With related children of the householder under 18 years","7.5%","±0.1","5.4%","±0.1","14.7%","±0.2","8.5%","±0.1","21.1%","±0.2"
"            With related children of the householder under 5 years only","5.9%","±0.1","4.8%","±0.1","10.5%","±0.2","6.6%","±0.2","13.7%","±0.4"
"        Female householder, no husband present, family","28.8%","±0.1","28.2%","±0.1","32.1%","±0.2","19.6%","±0.3","46.5%","±0.3"
"            With related children of the householder under 18 years","38.7%","±0.1","37.9%","±0.1","42.7%","±0.3","27.6%","±0.4","54.8%","±0.4"
"            With related children of the householder under 5 years only","43.7%","±0.3","44.4%","±0.3","39.4%","±0.8","24.5%","±1.1","50.9%","±1.1"
"Occupied housing units","118,825,921","±229,026","101,278,250","±240,179","17,547,671","±24,509","9,890,993","±25,994","7,656,678","±33,753"
"    HOUSING TENURE","","","","","","","","","",""
"        Owner-occupied housing units","63.8%","±0.2","65.9%","±0.2","51.7%","±0.2","65.5%","±0.2","33.9%","±0.2"
"        Renter-occupied housing units","36.2%","±0.2","34.1%","±0.2","48.3%","±0.2","34.5%","±0.2","66.1%","±0.2"
"        Average household size of owner-occupied unit","2.70","±0.01","2.59","±0.01","3.48","±0.01","3.35","±0.01","3.81","±0.01"
"        Average household size of renter-occupied unit","2.52","±0.01","2.36","±0.01","3.18","±0.01","2.82","±0.01","3.42","±0.02"
"    ROOMS","","","","","","","","","",""
"        1 room","1.9%","±0.1","1.6%","±0.1","3.1%","±0.1","2.5%","±0.1","4.0%","±0.1"
"        2 or 3 rooms","10.9%","±0.1","9.8%","±0.1","17.3%","±0.1","13.7%","±0.1","21.8%","±0.1"
"        4 or 5 rooms","35.1%","±0.1","34.0%","±0.1","41.4%","±0.1","37.0%","±0.1","47.1%","±0.2"
"        6 or 7 rooms","31.0%","±0.1","32.0%","±0.1","24.9%","±0.1","29.0%","±0.1","19.5%","±0.1"
"        8 or more rooms","21.2%","±0.1","22.5%","±0.1","13.3%","±0.1","17.8%","±0.1","7.5%","±0.1"
"    Median number of rooms","5.6","±0.1","5.7","±0.1","4.9","±0.1","5.3","±0.1","4.4","±0.1"
"    1.01 or more occupants per room","3.3%","±0.1","2.0%","±0.1","11.4%","±0.1","7.2%","±0.1","16.9%","±0.1"
"    VEHICLES AVAILABLE","","","","","","","","","",""
"        None","8.8%","±0.1","8.2%","±0.1","12.5%","±0.1","10.8%","±0.1","14.6%","±0.1"
"        1 or more","91.2%","±0.1","91.8%","±0.1","87.5%","±0.1","89.2%","±0.1","85.4%","±0.1"
"    SELECTED CHARACTERISTICS","","","","","","","","","",""
"        No telephone service available","2.3%","±0.1","2.3%","±0.1","2.6%","±0.1","1.9%","±0.1","3.5%","±0.1"
"        Limited English Speaking Households","4.5%","±0.1","0.7%","±0.1","26.3%","±0.1","20.2%","±0.1","34.2%","±0.2"
"Owner-occupied housing units","75,833,135","±358,989","66,757,193","±329,486","9,075,942","±35,180","6,481,301","±32,352","2,594,641","±11,667"
"    SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","",""
"        Less than 30 percent","76.3%","±0.1","77.6%","±0.1","67.0%","±0.2","67.4%","±0.2","65.9%","±0.3"
"        30 percent or more","23.7%","±0.1","22.4%","±0.1","33.0%","±0.2","32.6%","±0.2","34.1%","±0.3"
"Renter-occupied housing units","42,992,786","±134,442","34,521,057","±95,546","8,471,729","±43,748","3,409,692","±16,327","5,062,037","±33,625"
"    GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","",""
"        Less than 30 percent","53.2%","±0.1","54.3%","±0.1","48.5%","±0.1","49.7%","±0.2","47.7%","±0.2"
"        30 percent or more","46.8%","±0.1","45.7%","±0.1","51.5%","±0.1","50.3%","±0.2","52.3%","±0.2"
