"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"        Speak English ""very well""","181,590","±4,723"
"        Speak English less than ""very well""","33,021","±1,465"
"    Amharic, Somali, or other Afro-Asiatic languages:","492,294","±10,426"
"        Speak English ""very well""","279,170","±7,273"
"        Speak English less than ""very well""","213,124","±4,990"
"    Yoruba, Twi, Igbo, or other languages of Western Africa:","484,415","±9,134"
"        Speak English ""very well""","376,145","±7,588"
"        Speak English less than ""very well""","108,270","±3,872"
"    Swahili or other languages of Central, Eastern, and Southern Africa:","213,495","±6,614"
"        Speak English ""very well""","151,969","±5,200"
"        Speak English less than ""very well""","61,526","±3,291"
"    Navajo:","163,419","±2,662"
"        Speak English ""very well""","132,212","±2,526"
"        Speak English less than ""very well""","31,207","±1,044"
"    Other Native languages of North America:","186,922","±3,080"
"        Speak English ""very well""","160,659","±2,613"
"        Speak English less than ""very well""","26,263","±1,053"
"    Other and unspecified languages:","251,076","±6,133"
"        Speak English ""very well""","181,627","±4,517"
"        Speak English less than ""very well""","69,449","±2,727"
