"","Geography","Geographic_Area_Name","No_one_age_14_and_over_speaks_English_only_or_speaks_English_very_well_Estimate_All_households","No_one_age_14_and_over_speaks_English_only_or_speaks_English_very_well_Estimate_Households_speaking_Spanish","No_one_age_14_and_over_speaks_English_only_or_speaks_English_very_well_Estimate_Households_speaking_Other_Indo-European_languages","No_one_age_14_and_over_speaks_English_only_or_speaks_English_very_well_Estimate_Households_speaking_Asian_and_Pacific_Island_languages","No_one_age_14_and_over_speaks_English_only_or_speaks_English_very_well_Estimate_Households_speaking_Other_languages","No_one_age_14_and_over_speaks_English_only_or_speaks_English_very_well_Estimate_PERCENT_IMPUTED_Language_status","No_one_age_14_and_over_speaks_English_only_or_speaks_English_very_well_Estimate_PERCENT_IMPUTED_Language_status_(speak_a_language_other_than_English)","No_one_age_14_and_over_speaks_English_only_or_speaks_English_very_well_Estimate_PERCENT_IMPUTED_Ability_to_speak_English","NA"
"33","1400000US12001001803","Census Tract 18.03, Alachua County, Florida","0.8","10.3","0.0","18.9","-","1.6","0.0","0.0",NA
"34","1400000US12001001805","Census Tract 18.05, Alachua County, Florida","0.5","5.9","0.0","-","-","2.4","0.0","12.3",NA
"35","1400000US12001001806","Census Tract 18.06, Alachua County, Florida","2.5","17.6","20.6","0.0","-","7.9","13.0","13.0",NA
"36","1400000US12001001811","Census Tract 18.11, Alachua County, Florida","6.9","4.5","21.7","50.5","0.0","1.3","0.0","0.0",NA
"37","1400000US12001001813","Census Tract 18.13, Alachua County, Florida","0.8","0.0","0.0","9.3","0.0","5.0","18.4","17.3",NA
"38","1400000US12001001814","Census Tract 18.14, Alachua County, Florida","1.4","0.0","13.2","0.0","-","4.9","8.0","8.0",NA
"39","1400000US12001001902","Census Tract 19.02, Alachua County, Florida","0.0","0.0","-","0.0","-","4.7","0.0","0.0",NA
"40","1400000US12001001907","Census Tract 19.07, Alachua County, Florida","0.0","0.0","0.0","0.0","-","7.0","40.1","40.1",NA
"41","1400000US12001001908","Census Tract 19.08, Alachua County, Florida","1.4","22.6","0.0","18.5","-","3.0","8.7","9.2",NA
"42","1400000US12001002000","Census Tract 20, Alachua County, Florida","0.0","0.0","0.0","-","-","3.7","0.0","0.0",NA
"43","1400000US12001002101","Census Tract 21.01, Alachua County, Florida","3.8","0.0","88.6","0.0","0.0","2.2","6.8","6.8",NA
"44","1400000US12001002102","Census Tract 21.02, Alachua County, Florida","0.0","0.0","0.0","0.0","-","5.7","3.6","3.6",NA
"45","1400000US12001002201","Census Tract 22.01, Alachua County, Florida","0.0","0.0","0.0","0.0","0.0","12.3","3.2","3.2",NA
"46","1400000US12001002202","Census Tract 22.02, Alachua County, Florida","1.1","29.8","0.0","0.0","0.0","6.7","13.9","13.9",NA
"47","1400000US12001002204","Census Tract 22.04, Alachua County, Florida","3.1","5.9","4.7","48.0","0.0","2.6","2.3","7.1",NA
"48","1400000US12001002205","Census Tract 22.05, Alachua County, Florida","1.5","0.0","20.7","8.8","0.0","2.7","5.3","7.2",NA
"49","1400000US12001002207","Census Tract 22.07, Alachua County, Florida","0.8","9.2","0.0","0.0","0.0","2.7","2.6","4.3",NA
"50","1400000US12001002208","Census Tract 22.08, Alachua County, Florida","1.3","24.0","0.0","0.0","-","4.8","6.6","9.5",NA
"51","1400000US12001002209","Census Tract 22.09, Alachua County, Florida","0.4","0.0","0.0","0.0","68.4","3.2","3.3","5.7",NA
"52","1400000US12001002210","Census Tract 22.10, Alachua County, Florida","0.8","10.0","0.0","0.0","-","1.1","0.0","2.2",NA
"53","1400000US12001002217","Census Tract 22.17, Alachua County, Florida","2.7","6.7","0.0","77.6","-","2.1","1.8","1.8",NA
"54","1400000US12001002218","Census Tract 22.18, Alachua County, Florida","0.8","4.6","0.0","13.0","-","2.9","5.8","5.8",NA
"55","1400000US12001002219","Census Tract 22.19, Alachua County, Florida","5.0","23.3","0.0","52.6","33.3","5.1","1.9","1.9",NA
"56","1400000US12001002220","Census Tract 22.20, Alachua County, Florida","4.2","36.5","100.0","-","0.0","3.5","2.1","2.1",NA
"57","1400000US12001110800","Census Tract 1108, Alachua County, Florida","1.3","28.9","0.0","0.0","-","0.6","1.2","3.7",NA
