"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"    Swahili or other languages of Central, Eastern, and Southern Africa:","229,834","±7,097"
"        Speak English ""very well""","162,383","±5,490"
"        Speak English less than ""very well""","67,451","±2,859"
"    Navajo:","167,795","±2,578"
"        Speak English ""very well""","135,017","±2,756"
"        Speak English less than ""very well""","32,778","±1,133"
"    Other Native languages of North America:","190,021","±2,942"
"        Speak English ""very well""","162,722","±2,877"
"        Speak English less than ""very well""","27,299","±1,084"
"    Other and unspecified languages:","262,018","±5,719"
"        Speak English ""very well""","190,384","±4,744"
"        Speak English less than ""very well""","71,634","±2,830"
