"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Foreign born; Entered 2010 or later!!Estimate","United States!!Foreign born; Entered 2010 or later!!Margin of Error","United States!!Foreign born; Entered 2000 to 2009!!Estimate","United States!!Foreign born; Entered 2000 to 2009!!Margin of Error","United States!!Foreign born; Entered before 2000!!Estimate","United States!!Foreign born; Entered before 2000!!Margin of Error"
"        Never married","24.2%","±0.1","38.9%","±0.2","32.3%","±0.2","16.4%","±0.1"
"        Now married, except separated","59.5%","±0.2","53.0%","±0.3","56.5%","±0.2","62.6%","±0.2"
"        Divorced or separated","11.0%","±0.1","5.3%","±0.1","8.7%","±0.1","13.6%","±0.1"
"        Widowed","5.3%","±0.1","2.8%","±0.1","2.4%","±0.1","7.4%","±0.1"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","5,633,807","±21,167","2,405,191","±15,877","2,141,631","±12,806","1,086,985","±11,927"
"        Nursery school, preschool","1.7%","±0.1","4.0%","±0.1","0.1%","±0.1","0.0%","±0.1"
"        Elementary school (grades K-8)","22.7%","±0.2","32.2%","±0.3","23.1%","±0.2","0.8%","±0.1"
"        High school (grades 9-12)","20.2%","±0.1","16.6%","±0.2","28.6%","±0.2","11.9%","±0.2"
"        College or graduate school","55.4%","±0.2","47.2%","±0.3","48.3%","±0.3","87.3%","±0.2"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","37,997,146","±109,949","5,187,928","±32,037","9,481,962","±46,566","23,327,256","±50,637"
"        Less than high school graduate","28.3%","±0.1","20.0%","±0.2","29.6%","±0.2","29.7%","±0.1"
"        High school graduate (includes equivalency)","22.4%","±0.1","19.5%","±0.2","23.3%","±0.2","22.6%","±0.1"
"        Some college or associate's degree","18.9%","±0.1","15.2%","±0.1","17.0%","±0.1","20.4%","±0.1"
"        Bachelor's degree","17.4%","±0.1","25.1%","±0.2","17.0%","±0.1","15.8%","±0.1"
"        Graduate or professional degree","13.1%","±0.1","20.1%","±0.2","13.1%","±0.2","11.5%","±0.1"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","",""
"    Population 5 years and over","43,243,161","±130,126","7,608,277","±46,007","11,670,727","±54,923","23,964,157","±51,971"
"        English only","16.2%","±0.1","12.6%","±0.1","12.4%","±0.1","19.1%","±0.1"
"        Language other than English","83.8%","±0.1","87.4%","±0.1","87.6%","±0.1","80.9%","±0.1"
"            Speak English less than ""very well""","48.3%","±0.1","54.5%","±0.2","50.9%","±0.2","45.1%","±0.1"
"EMPLOYMENT STATUS","","","","","","","",""
"    Population 16 years and over","41,571,392","±125,568","6,643,943","±40,965","10,971,336","±53,248","23,956,113","±52,164"
"        In labor force","66.3%","±0.1","61.1%","±0.2","73.1%","±0.1","64.6%","±0.1"
"            Civilian labor force","66.1%","±0.1","61.0%","±0.2","72.9%","±0.1","64.5%","±0.1"
"                Employed","62.8%","±0.1","56.6%","±0.2","69.1%","±0.1","61.6%","±0.1"
"                Unemployed","3.4%","±0.1","4.3%","±0.1","3.8%","±0.1","2.9%","±0.1"
"                    Percent of civilian labor force","5.1%","±0.1","7.1%","±0.1","5.2%","±0.1","4.5%","±0.1"
"            Armed Forces","0.1%","±0.1","0.1%","±0.1","0.2%","±0.1","0.1%","±0.1"
"        Not in labor force","33.7%","±0.1","38.9%","±0.2","26.9%","±0.1","35.4%","±0.1"
"Civilian employed population 16 years and over","26,093,788","±72,638","3,761,744","±25,827","7,583,554","±35,174","14,748,490","±31,582"
"    CLASS OF WORKER","","","","","","","",""
"        Private wage and salary workers","83.7%","±0.1","88.2%","±0.1","86.6%","±0.1","81.1%","±0.1"
"        Government workers","8.4%","±0.1","6.6%","±0.1","6.0%","±0.1","10.1%","±0.1"
"        Self-employed workers in own not incorporated business","7.7%","±0.1","4.9%","±0.1","7.2%","±0.1","8.6%","±0.1"
"        Unpaid family workers","0.2%","±0.1","0.2%","±0.1","0.2%","±0.1","0.2%","±0.1"
"    OCCUPATION","","","","","","","",""
"        Management, business, science, and arts occupations","32.0%","±0.2","36.5%","±0.3","28.5%","±0.3","32.7%","±0.2"
"        Service occupations","23.6%","±0.1","23.6%","±0.2","26.6%","±0.2","22.1%","±0.1"
"        Sales and office occupations","15.7%","±0.1","14.1%","±0.2","14.4%","±0.1","16.8%","±0.1"
"        Natural resources, construction, and maintenance occupations","12.8%","±0.1","11.2%","±0.2","15.1%","±0.1","12.1%","±0.1"
"        Production, transportation, and material moving occupations","15.8%","±0.1","14.6%","±0.2","15.4%","±0.1","16.3%","±0.1"
"    INDUSTRY","","","","","","","",""
"        Agriculture, forestry, fishing and hunting, and mining","2.5%","±0.1","2.6%","±0.1","2.9%","±0.1","2.3%","±0.1"
"        Construction","9.3%","±0.1","8.1%","±0.2","11.4%","±0.1","8.6%","±0.1"
"        Manufacturing","11.3%","±0.1","11.0%","±0.1","10.2%","±0.1","11.9%","±0.1"
"        Wholesale trade","2.7%","±0.1","2.4%","±0.1","2.4%","±0.1","2.9%","±0.1"
"        Retail trade","9.2%","±0.1","9.7%","±0.1","9.5%","±0.1","9.0%","±0.1"
"        Transportation and warehousing, and utilities","5.4%","±0.1","4.8%","±0.1","4.8%","±0.1","5.9%","±0.1"
"        Information","1.6%","±0.1","2.1%","±0.1","1.5%","±0.1","1.6%","±0.1"
"        Finance and insurance, and real estate and rental and leasing","5.4%","±0.1","4.6%","±0.1","4.5%","±0.1","6.0%","±0.1"
"        Professional, scientific, and management, and administrative and waste management services","13.2%","±0.1","16.6%","±0.2","13.4%","±0.1","12.2%","±0.1"
"        Educational services, and health care and social assistance","19.3%","±0.1","18.2%","±0.2","17.5%","±0.1","20.5%","±0.1"
"        Arts, entertainment, and recreation, and accommodation and food services","11.5%","±0.1","13.0%","±0.2","14.0%","±0.1","9.8%","±0.1"
"        Other services (except public administration)","6.3%","±0.1","5.6%","±0.1","6.4%","±0.1","6.3%","±0.1"
"        Public administration","2.3%","±0.1","1.4%","±0.1","1.5%","±0.1","3.0%","±0.1"
"EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS","","","","","","","",""
"    Population 16 years and over with earnings","18,842,314","±70,265","2,379,869","±21,341","5,355,427","±29,963","11,107,018","±33,452"
"        $1 to $9,999 or loss","1.8%","±0.1","2.6%","±0.1","2.0%","±0.1","1.6%","±0.1"
"        $10,000 to $14,999","4.4%","±0.1","5.8%","±0.1","5.6%","±0.1","3.6%","±0.1"
"        $15,000 to $24,999","17.7%","±0.1","21.0%","±0.3","22.0%","±0.2","14.9%","±0.1"
"        $25,000 to $34,999","18.4%","±0.1","18.1%","±0.2","20.5%","±0.2","17.5%","±0.1"
"        $35,000 to $49,999","17.7%","±0.1","14.0%","±0.2","17.0%","±0.2","18.8%","±0.1"
"        $50,000 to $74,999","16.9%","±0.1","14.8%","±0.2","14.0%","±0.1","18.8%","±0.1"
"        $75,000 or more","23.0%","±0.2","23.7%","±0.3","19.0%","±0.2","24.8%","±0.2"
"        Median earnings (dollars) for full-time, year-round workers:","","","","","","","",""
"            Male","42,033","±130","40,309","±259","36,166","±171","46,833","±250"
"            Female","36,659","±144","31,602","±240","32,003","±145","39,985","±159"
"INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)","","","","","","","",""
"    Households","17,871,375","±28,914","2,028,159","±10,971","4,104,233","±17,322","11,738,983","±19,964"
"        With earnings","85.7%","±0.1","87.7%","±0.2","94.7%","±0.1","82.2%","±0.1"
"            Mean earnings (dollars)","85,946","±230","78,883","±498","78,311","±398","90,327","±268"
"        With Social Security income","20.7%","±0.1","4.0%","±0.1","5.8%","±0.1","28.8%","±0.1"
"            Mean Social Security income (dollars)","16,813","±40","13,822","±299","11,947","±120","17,227","±41"
"        With Supplemental Security Income","5.2%","±0.1","2.0%","±0.1","2.8%","±0.1","6.6%","±0.1"
"            Mean Supplemental Security Income (dollars)","9,154","±38","10,225","±285","9,182","±103","9,092","±41"
"        With cash public assistance income","2.8%","±0.1","2.3%","±0.1","2.9%","±0.1","2.9%","±0.1"
"            Mean cash public assistance income (dollars)","3,566","±38","4,000","±160","3,641","±81","3,480","±46"
"        With retirement income","8.8%","±0.1","2.3%","±0.1","2.2%","±0.1","12.3%","±0.1"
"            Mean retirement income (dollars)","23,935","±186","27,859","±1,337","19,824","±849","24,064","±201"
"        With Food Stamp/SNAP benefits","15.2%","±0.1","12.6%","±0.2","18.7%","±0.2","14.4%","±0.1"
"        Median Household income (dollars)","56,293","±195","49,673","±404","51,400","±245","59,655","±212"
"        Average number of workers per household","1.53","±0.01","1.38","±0.01","1.65","±0.01","1.51","±0.01"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","",""
"    Population for whom poverty status is determined","42,961,704","±130,713","7,684,954","±46,892","11,546,032","±54,744","23,730,718","±51,980"
"        Below 100 percent of the poverty level","16.4%","±0.1","24.3%","±0.2","18.3%","±0.1","12.9%","±0.1"
"        100 to 199 percent of the poverty level","22.3%","±0.1","22.6%","±0.2","25.5%","±0.1","20.7%","±0.1"
"        At or above 200 percent of the poverty level","61.3%","±0.2","53.1%","±0.3","56.1%","±0.2","66.5%","±0.1"
"    POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED","","","","","","","",""
"        All families","15.1%","±0.1","21.4%","±0.3","20.6%","±0.2","12.1%","±0.1"
"            With related children of the householder under 18 years","20.2%","±0.2","25.5%","±0.4","25.0%","±0.3","16.7%","±0.2"
"            With related children of the householder under 5 years only","15.5%","±0.2","20.4%","±0.6","17.1%","±0.4","11.3%","±0.4"
"        Married-couple family","10.8%","±0.1","16.6%","±0.3","14.4%","±0.2","8.7%","±0.1"
"            With related children of the householder under 18 years","13.7%","±0.2","18.9%","±0.4","16.9%","±0.2","11.1%","±0.1"
"            With related children of the householder under 5 years only","9.9%","±0.2","14.5%","±0.6","10.3%","±0.4","6.7%","±0.3"
"        Female householder, no husband present, family","31.0%","±0.3","46.2%","±0.8","43.2%","±0.5","24.6%","±0.3"
"            With related children of the householder under 18 years","41.6%","±0.4","54.1%","±0.9","50.9%","±0.6","34.8%","±0.5"
"            With related children of the householder under 5 years only","38.6%","±0.8","55.3%","±1.9","44.7%","±1.3","27.4%","±1.0"
"Occupied housing units","17,871,375","±28,914","2,028,159","±10,971","4,104,233","±17,322","11,738,983","±19,964"
"    HOUSING TENURE","","","","","","","",""
"        Owner-occupied housing units","52.0%","±0.2","19.7%","±0.3","37.7%","±0.3","62.6%","±0.2"
"        Renter-occupied housing units","48.0%","±0.2","80.3%","±0.3","62.3%","±0.3","37.4%","±0.2"
"        Average household size of owner-occupied unit","3.46","±0.01","3.40","±0.02","3.84","±0.02","3.39","±0.01"
"        Average household size of renter-occupied unit","3.15","±0.01","2.91","±0.02","3.44","±0.02","3.07","±0.01"
"    ROOMS","","","","","","","",""
"        1 room","3.3%","±0.1","6.5%","±0.1","3.7%","±0.1","2.6%","±0.1"
"        2 or 3 rooms","17.0%","±0.1","31.9%","±0.3","20.3%","±0.2","13.3%","±0.1"
"        4 or 5 rooms","41.2%","±0.1","42.4%","±0.3","46.3%","±0.2","39.3%","±0.1"
"        6 or 7 rooms","24.9%","±0.1","13.1%","±0.2","20.4%","±0.2","28.5%","±0.1"
"        8 or more rooms","13.5%","±0.1","6.0%","±0.1","9.3%","±0.1","16.3%","±0.1"
"    Median number of rooms","4.9","±0.1","3.9","±0.1","4.5","±0.1","5.3","±0.1"
"    1.01 or more occupants per room","11.2%","±0.1","13.4%","±0.2","15.7%","±0.1","9.2%","±0.1"
"    VEHICLES AVAILABLE","","","","","","","",""
"        None","12.3%","±0.1","20.1%","±0.2","11.8%","±0.1","11.1%","±0.1"
"        1 or more","87.7%","±0.1","79.9%","±0.2","88.2%","±0.1","88.9%","±0.1"
"    SELECTED CHARACTERISTICS","","","","","","","",""
"        No telephone service available","2.4%","±0.1","5.0%","±0.1","2.8%","±0.1","1.9%","±0.1"
"        Limited English Speaking Households","25.8%","±0.1","36.4%","±0.3","33.6%","±0.2","21.2%","±0.1"
"Owner-occupied housing units","9,292,668","±37,283","399,031","±5,739","1,546,566","±11,069","7,347,071","±28,836"
"    SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","",""
"        Less than 30 percent","67.9%","±0.2","69.4%","±0.6","68.9%","±0.3","67.7%","±0.2"
"        30 percent or more","32.1%","±0.2","30.6%","±0.6","31.1%","±0.3","32.3%","±0.2"
"Renter-occupied housing units","8,578,707","±49,434","1,629,128","±11,188","2,557,667","±19,304","4,391,912","±28,065"
"    GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","",""
"        Less than 30 percent","48.9%","±0.2","54.4%","±0.3","47.5%","±0.2","47.7%","±0.2"
"        30 percent or more","51.1%","±0.2","45.6%","±0.3","52.5%","±0.2","52.3%","±0.2"
