"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Native!!Estimate","United States!!Native!!Margin of Error","United States!!Foreign born!!Estimate","United States!!Foreign born!!Margin of Error","United States!!Foreign born; Naturalized citizen!!Estimate","United States!!Foreign born; Naturalized citizen!!Margin of Error","United States!!Foreign born; Not a U.S. citizen!!Estimate","United States!!Foreign born; Not a U.S. citizen!!Margin of Error"
"        White alone, not Hispanic or Latino","61.1%","±0.1","67.8%","±0.1","18.0%","±0.1","22.7%","±0.1","13.5%","±0.1"
"    HOUSEHOLD TYPE","","","","","","","","","",""
"        In married-couple family","58.6%","±0.2","57.8%","±0.2","63.2%","±0.2","66.3%","±0.2","60.4%","±0.2"
"        In other households","38.9%","±0.2","39.5%","±0.2","35.2%","±0.2","32.7%","±0.2","37.6%","±0.2"
"    Average  household size","2.63","±0.01","2.51","±0.01","3.31","±0.01","3.16","±0.01","3.52","±0.01"
"    Average family size","3.23","±0.01","3.12","±0.01","3.79","±0.01","3.66","±0.01","3.95","±0.01"
"MARITAL STATUS","","","","","","","","","",""
"    Population 15  years and over","261,937,267","±8,778","220,134,064","±133,577","41,803,203","±126,100","20,826,773","±33,167","20,976,430","±129,790"
"        Never married","33.3%","±0.1","35.0%","±0.1","24.2%","±0.1","17.1%","±0.1","31.3%","±0.2"
"        Now married, except separated","48.1%","±0.2","46.0%","±0.2","59.5%","±0.2","62.9%","±0.2","56.1%","±0.2"
"        Divorced or separated","12.8%","±0.1","13.2%","±0.1","11.0%","±0.1","12.8%","±0.1","9.2%","±0.1"
"        Widowed","5.8%","±0.1","5.9%","±0.1","5.3%","±0.1","7.2%","±0.1","3.4%","±0.1"
"SCHOOL ENROLLMENT","","","","","","","","","",""
"    Population 3 years and over enrolled in school","81,415,106","±82,018","75,781,299","±80,193","5,633,807","±21,167","2,051,096","±17,715","3,582,711","±20,367"
"        Nursery school, preschool","6.1%","±0.1","6.4%","±0.1","1.7%","±0.1","0.8%","±0.1","2.3%","±0.1"
"        Elementary school (grades K-8)","45.3%","±0.1","47.0%","±0.1","22.7%","±0.2","16.3%","±0.2","26.3%","±0.2"
"        High school (grades 9-12)","20.9%","±0.1","20.9%","±0.1","20.2%","±0.1","17.4%","±0.2","21.9%","±0.2"
"        College or graduate school","27.7%","±0.1","25.7%","±0.1","55.4%","±0.2","65.5%","±0.2","49.6%","±0.3"
"EDUCATIONAL ATTAINMENT","","","","","","","","","",""
"    Population 25 years and over","218,446,071","±16,291","180,448,925","±124,066","37,997,146","±109,949","19,724,826","±31,559","18,272,320","±111,658"
"        Less than high school graduate","12.3%","±0.1","9.0%","±0.1","28.3%","±0.1","19.7%","±0.1","37.7%","±0.1"
"        High school graduate (includes equivalency)","27.1%","±0.1","28.1%","±0.1","22.4%","±0.1","21.6%","±0.1","23.1%","±0.1"
"        Some college or associate's degree","29.0%","±0.1","31.1%","±0.1","18.9%","±0.1","23.1%","±0.1","14.2%","±0.1"
"        Bachelor's degree","19.4%","±0.1","19.9%","±0.1","17.4%","±0.1","20.7%","±0.1","13.8%","±0.1"
"        Graduate or professional degree","12.1%","±0.1","11.9%","±0.1","13.1%","±0.1","14.8%","±0.1","11.2%","±0.1"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","","","",""
"    Population 5 years and over","303,066,180","±4,092","259,823,019","±132,493","43,243,161","±130,126","21,204,855","±34,155","22,038,306","±135,727"
"        English only","78.5%","±0.1","88.9%","±0.1","16.2%","±0.1","21.1%","±0.1","11.5%","±0.1"
"        Language other than English","21.5%","±0.1","11.1%","±0.1","83.8%","±0.1","78.9%","±0.1","88.5%","±0.1"
"            Speak English less than ""very well""","8.5%","±0.1","1.8%","±0.1","48.3%","±0.1","37.6%","±0.1","58.6%","±0.2"
"EMPLOYMENT STATUS","","","","","","","","","",""
"    Population 16 years and over","257,754,872","±16,354","216,183,480","±135,451","41,571,392","±125,568","20,756,990","±32,776","20,814,402","±128,628"
"        In labor force","63.3%","±0.1","62.8%","±0.1","66.3%","±0.1","65.3%","±0.1","67.3%","±0.1"
"            Civilian labor force","62.9%","±0.1","62.3%","±0.1","66.1%","±0.1","65.0%","±0.1","67.2%","±0.1"
"                Employed","59.3%","±0.1","58.6%","±0.1","62.8%","±0.1","62.3%","±0.1","63.3%","±0.1"
"                Unemployed","3.7%","±0.1","3.8%","±0.1","3.4%","±0.1","2.8%","±0.1","4.0%","±0.1"
"                    Percent of civilian labor force","5.9%","±0.1","6.0%","±0.1","5.1%","±0.1","4.2%","±0.1","5.9%","±0.1"
"            Armed Forces","0.4%","±0.1","0.4%","±0.1","0.1%","±0.1","0.2%","±0.1","0.0%","±0.1"
"        Not in labor force","36.7%","±0.1","37.2%","±0.1","33.7%","±0.1","34.7%","±0.1","32.7%","±0.1"
"Civilian employed population 16 years and over","152,739,884","±153,838","126,646,096","±214,987","26,093,788","±72,638","12,922,800","±29,594","13,170,988","±80,604"
"    CLASS OF WORKER","","","","","","","","","",""
"        Private wage and salary workers","80.2%","±0.1","79.5%","±0.1","83.7%","±0.1","80.7%","±0.1","86.7%","±0.1"
"        Government workers","13.7%","±0.1","14.8%","±0.1","8.4%","±0.1","12.0%","±0.1","4.9%","±0.1"
"        Self-employed workers in own not incorporated business","6.0%","±0.1","5.6%","±0.1","7.7%","±0.1","7.1%","±0.1","8.2%","±0.1"
"        Unpaid family workers","0.2%","±0.1","0.2%","±0.1","0.2%","±0.1","0.2%","±0.1","0.2%","±0.1"
"    OCCUPATION","","","","","","","","","",""
"        Management, business, science, and arts occupations","37.9%","±0.1","39.2%","±0.1","32.0%","±0.2","39.9%","±0.2","24.3%","±0.2"
"        Service occupations","17.9%","±0.1","16.7%","±0.1","23.6%","±0.1","19.9%","±0.1","27.3%","±0.2"
"        Sales and office occupations","22.1%","±0.1","23.4%","±0.1","15.7%","±0.1","18.9%","±0.1","12.6%","±0.1"
"        Natural resources, construction, and maintenance occupations","8.9%","±0.1","8.1%","±0.1","12.8%","±0.1","7.2%","±0.1","18.4%","±0.1"
"        Production, transportation, and material moving occupations","13.3%","±0.1","12.7%","±0.1","15.8%","±0.1","14.2%","±0.1","17.4%","±0.1"
"    INDUSTRY","","","","","","","","","",""
"        Agriculture, forestry, fishing and hunting, and mining","1.8%","±0.1","1.7%","±0.1","2.5%","±0.1","1.1%","±0.1","3.9%","±0.1"
"        Construction","6.5%","±0.1","5.9%","±0.1","9.3%","±0.1","5.1%","±0.1","13.5%","±0.1"
"        Manufacturing","10.2%","±0.1","10.0%","±0.1","11.3%","±0.1","11.0%","±0.1","11.5%","±0.1"
"        Wholesale trade","2.6%","±0.1","2.6%","±0.1","2.7%","±0.1","2.7%","±0.1","2.7%","±0.1"
"        Retail trade","11.3%","±0.1","11.7%","±0.1","9.2%","±0.1","9.7%","±0.1","8.8%","±0.1"
"        Transportation and warehousing, and utilities","5.2%","±0.1","5.2%","±0.1","5.4%","±0.1","6.4%","±0.1","4.4%","±0.1"
"        Information","2.1%","±0.1","2.2%","±0.1","1.6%","±0.1","1.8%","±0.1","1.5%","±0.1"
"        Finance and insurance, and real estate and rental and leasing","6.6%","±0.1","6.8%","±0.1","5.4%","±0.1","7.0%","±0.1","3.8%","±0.1"
"        Professional, scientific, and management, and administrative and waste management services","11.4%","±0.1","11.1%","±0.1","13.2%","±0.1","11.9%","±0.1","14.4%","±0.1"
"        Educational services, and health care and social assistance","23.1%","±0.1","23.9%","±0.1","19.3%","±0.1","24.9%","±0.1","13.7%","±0.1"
"        Arts, entertainment, and recreation, and accommodation and food services","9.7%","±0.1","9.3%","±0.1","11.5%","±0.1","8.8%","±0.1","14.2%","±0.1"
"        Other services (except public administration)","4.9%","±0.1","4.6%","±0.1","6.3%","±0.1","5.9%","±0.1","6.6%","±0.1"
"        Public administration","4.6%","±0.1","5.1%","±0.1","2.3%","±0.1","3.6%","±0.1","1.0%","±0.1"
"EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS","","","","","","","","","",""
"    Population 16 years and over with earnings","108,559,838","±72,433","89,717,524","±123,003","18,842,314","±70,265","9,679,498","±21,806","9,162,816","±66,272"
"        $1 to $9,999 or loss","1.6%","±0.1","1.6%","±0.1","1.8%","±0.1","1.4%","±0.1","2.3%","±0.1"
"        $10,000 to $14,999","3.2%","±0.1","2.9%","±0.1","4.4%","±0.1","2.8%","±0.1","6.2%","±0.1"
"        $15,000 to $24,999","12.1%","±0.1","11.0%","±0.1","17.7%","±0.1","11.6%","±0.1","24.1%","±0.2"
"        $25,000 to $34,999","16.0%","±0.1","15.4%","±0.1","18.4%","±0.1","15.5%","±0.1","21.5%","±0.1"
"        $35,000 to $49,999","19.7%","±0.1","20.1%","±0.1","17.7%","±0.1","18.8%","±0.1","16.6%","±0.1"
"        $50,000 to $74,999","21.9%","±0.1","23.0%","±0.1","16.9%","±0.1","20.7%","±0.1","12.9%","±0.1"
"        $75,000 or more","25.4%","±0.1","25.9%","±0.1","23.0%","±0.2","29.2%","±0.2","16.5%","±0.2"
"        Median earnings (dollars) for full-time, year-round workers:","","","","","","","","","",""
"            Male","52,318","±126","53,893","±98","42,033","±130","53,880","±174","34,716","±203"
"            Female","41,690","±70","42,284","±62","36,659","±144","43,145","±228","27,889","±197"
"INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","",""
"    Households","119,730,128","±232,429","101,858,753","±245,562","17,871,375","±28,914","10,174,139","±27,351","7,697,236","±37,477"
"        With earnings","77.7%","±0.1","76.3%","±0.1","85.7%","±0.1","82.0%","±0.1","90.5%","±0.1"
"            Mean earnings (dollars)","86,966","±164","87,167","±159","85,946","±230","98,718","±262","70,662","±270"
"        With Social Security income","30.9%","±0.1","32.7%","±0.1","20.7%","±0.1","29.6%","±0.1","8.9%","±0.1"
"            Mean Social Security income (dollars)","19,346","±15","19,627","±17","16,813","±40","17,444","±43","14,030","±77"
"        With Supplemental Security Income","5.4%","±0.1","5.4%","±0.1","5.2%","±0.1","6.9%","±0.1","3.0%","±0.1"
"            Mean Supplemental Security Income (dollars)","9,963","±18","10,100","±21","9,154","±38","9,163","±44","9,126","±90"
"        With cash public assistance income","2.5%","±0.1","2.4%","±0.1","2.8%","±0.1","2.8%","±0.1","2.9%","±0.1"
"            Mean cash public assistance income (dollars)","3,183","±22","3,103","±22","3,566","±38","3,277","±48","3,936","±59"
"        With retirement income","18.6%","±0.1","20.3%","±0.1","8.8%","±0.1","12.9%","±0.1","3.5%","±0.1"
"            Mean retirement income (dollars)","26,805","±53","27,024","±55","23,935","±186","24,578","±217","20,785","±428"
"        With Food Stamp/SNAP benefits","12.2%","±0.1","11.7%","±0.1","15.2%","±0.1","12.8%","±0.1","18.3%","±0.1"
"        Median Household income (dollars)","60,293","±140","60,968","±134","56,293","±195","66,078","±218","46,323","±184"
"        Average number of workers per household","1.25","±0.01","1.20","±0.01","1.53","±0.01","1.49","±0.01","1.58","±0.01"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","",""
"    Population for whom poverty status is determined","314,943,184","±10,644","271,981,480","±135,228","42,961,704","±130,713","21,066,998","±33,882","21,894,706","±136,555"
"        Below 100 percent of the poverty level","14.1%","±0.1","13.7%","±0.1","16.4%","±0.1","10.7%","±0.1","21.8%","±0.1"
"        100 to 199 percent of the poverty level","17.9%","±0.1","17.1%","±0.1","22.3%","±0.1","17.6%","±0.1","26.8%","±0.1"
"        At or above 200 percent of the poverty level","68.1%","±0.2","69.2%","±0.2","61.3%","±0.2","71.7%","±0.1","51.3%","±0.2"
"    POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED","","","","","","","","","",""
"        All families","10.1%","±0.1","9.0%","±0.1","15.1%","±0.1","9.3%","±0.1","22.7%","±0.2"
"            With related children of the householder under 18 years","15.9%","±0.1","14.8%","±0.1","20.2%","±0.2","12.1%","±0.1","27.8%","±0.2"
"            With related children of the householder under 5 years only","15.3%","±0.2","15.3%","±0.2","15.5%","±0.2","9.8%","±0.3","20.0%","±0.3"
"        Married-couple family","5.0%","±0.1","3.8%","±0.1","10.8%","±0.1","6.9%","±0.1","16.6%","±0.2"
"            With related children of the householder under 18 years","7.1%","±0.1","5.1%","±0.1","13.7%","±0.2","8.1%","±0.1","19.6%","±0.2"
"            With related children of the householder under 5 years only","5.5%","±0.1","4.4%","±0.1","9.9%","±0.2","6.3%","±0.3","12.8%","±0.4"
"        Female householder, no husband present, family","27.8%","±0.1","27.1%","±0.1","31.0%","±0.3","19.1%","±0.3","45.2%","±0.3"
"            With related children of the householder under 18 years","37.5%","±0.1","36.7%","±0.1","41.6%","±0.4","27.0%","±0.4","53.7%","±0.4"
"            With related children of the householder under 5 years only","42.2%","±0.3","42.7%","±0.3","38.6%","±0.8","24.3%","±1.0","50.2%","±1.0"
"Occupied housing units","119,730,128","±232,429","101,858,753","±245,562","17,871,375","±28,914","10,174,139","±27,351","7,697,236","±37,477"
"    HOUSING TENURE","","","","","","","","","",""
"        Owner-occupied housing units","63.8%","±0.2","65.9%","±0.2","52.0%","±0.2","65.6%","±0.2","34.0%","±0.2"
"        Renter-occupied housing units","36.2%","±0.2","34.1%","±0.2","48.0%","±0.2","34.4%","±0.2","66.0%","±0.2"
"        Average household size of owner-occupied unit","2.70","±0.01","2.59","±0.01","3.46","±0.01","3.34","±0.01","3.78","±0.02"
"        Average household size of renter-occupied unit","2.51","±0.01","2.35","±0.01","3.15","±0.01","2.81","±0.01","3.38","±0.02"
"    ROOMS","","","","","","","","","",""
"        1 room","1.9%","±0.1","1.7%","±0.1","3.3%","±0.1","2.6%","±0.1","4.2%","±0.1"
"        2 or 3 rooms","11.0%","±0.1","9.9%","±0.1","17.0%","±0.1","13.5%","±0.1","21.6%","±0.1"
"        4 or 5 rooms","34.9%","±0.1","33.7%","±0.1","41.2%","±0.1","36.9%","±0.1","47.0%","±0.2"
"        6 or 7 rooms","30.9%","±0.1","31.9%","±0.1","24.9%","±0.1","28.9%","±0.1","19.7%","±0.1"
"        8 or more rooms","21.3%","±0.1","22.7%","±0.1","13.5%","±0.1","18.1%","±0.1","7.5%","±0.1"
"    Median number of rooms","5.6","±0.1","5.7","±0.3","4.9","±0.1","5.3","±0.1","4.4","±0.1"
"    1.01 or more occupants per room","3.3%","±0.1","2.0%","±0.1","11.2%","±0.1","7.1%","±0.1","16.5%","±0.1"
"    VEHICLES AVAILABLE","","","","","","","","","",""
"        None","8.7%","±0.1","8.1%","±0.1","12.3%","±0.1","10.7%","±0.1","14.4%","±0.1"
"        1 or more","91.3%","±0.1","91.9%","±0.1","87.7%","±0.1","89.3%","±0.1","85.6%","±0.1"
"    SELECTED CHARACTERISTICS","","","","","","","","","",""
"        No telephone service available","2.2%","±0.1","2.1%","±0.1","2.4%","±0.1","1.8%","±0.1","3.3%","±0.1"
"        Limited English Speaking Households","4.4%","±0.1","0.7%","±0.1","25.8%","±0.1","19.9%","±0.1","33.6%","±0.2"
"Owner-occupied housing units","76,444,810","±367,132","67,152,142","±334,277","9,292,668","±37,283","6,677,405","±33,151","2,615,263","±12,673"
"    SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","",""
"        Less than 30 percent","76.9%","±0.1","78.2%","±0.1","67.9%","±0.2","68.3%","±0.2","67.1%","±0.3"
"        30 percent or more","23.1%","±0.1","21.8%","±0.1","32.1%","±0.2","31.7%","±0.2","32.9%","±0.3"
"Renter-occupied housing units","43,285,318","±139,467","34,706,611","±95,181","8,578,707","±49,434","3,496,734","±17,163","5,081,973","±38,586"
"    GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","",""
"        Less than 30 percent","53.5%","±0.1","54.6%","±0.1","48.9%","±0.2","49.9%","±0.2","48.3%","±0.2"
"        30 percent or more","46.5%","±0.1","45.4%","±0.1","51.1%","±0.2","50.1%","±0.2","51.7%","±0.2"
