"Column Name","Label"
"S0501_C04_006E","Foreign born; Naturalized citizen!!Estimate!!18 to 24 years"
"S0501_C04_006M","Foreign born; Naturalized citizen!!Margin of Error!!18 to 24 years"
"S0501_C05_006E","Foreign born; Not a U.S. citizen!!Estimate!!18 to 24 years"
"S0501_C05_006M","Foreign born; Not a U.S. citizen!!Margin of Error!!18 to 24 years"
"S0501_C01_007E","Total!!Estimate!!25 to 44 years"
"S0501_C01_007M","Total!!Margin of Error!!25 to 44 years"
"S0501_C02_007E","Native!!Estimate!!25 to 44 years"
"S0501_C02_007M","Native!!Margin of Error!!25 to 44 years"
"S0501_C03_007E","Foreign born!!Estimate!!25 to 44 years"
"S0501_C03_007M","Foreign born!!Margin of Error!!25 to 44 years"
"S0501_C04_007E","Foreign born; Naturalized citizen!!Estimate!!25 to 44 years"
"S0501_C04_007M","Foreign born; Naturalized citizen!!Margin of Error!!25 to 44 years"
"S0501_C05_007E","Foreign born; Not a U.S. citizen!!Estimate!!25 to 44 years"
"S0501_C05_007M","Foreign born; Not a U.S. citizen!!Margin of Error!!25 to 44 years"
"S0501_C01_008E","Total!!Estimate!!45 to 54 years"
"S0501_C01_008M","Total!!Margin of Error!!45 to 54 years"
"S0501_C02_008E","Native!!Estimate!!45 to 54 years"
"S0501_C02_008M","Native!!Margin of Error!!45 to 54 years"
"S0501_C03_008E","Foreign born!!Estimate!!45 to 54 years"
"S0501_C03_008M","Foreign born!!Margin of Error!!45 to 54 years"
"S0501_C04_008E","Foreign born; Naturalized citizen!!Estimate!!45 to 54 years"
"S0501_C04_008M","Foreign born; Naturalized citizen!!Margin of Error!!45 to 54 years"
"S0501_C05_008E","Foreign born; Not a U.S. citizen!!Estimate!!45 to 54 years"
"S0501_C05_008M","Foreign born; Not a U.S. citizen!!Margin of Error!!45 to 54 years"
"S0501_C01_009E","Total!!Estimate!!55 to 64 years"
"S0501_C01_009M","Total!!Margin of Error!!55 to 64 years"
"S0501_C02_009E","Native!!Estimate!!55 to 64 years"
"S0501_C02_009M","Native!!Margin of Error!!55 to 64 years"
"S0501_C03_009E","Foreign born!!Estimate!!55 to 64 years"
"S0501_C03_009M","Foreign born!!Margin of Error!!55 to 64 years"
"S0501_C04_009E","Foreign born; Naturalized citizen!!Estimate!!55 to 64 years"
"S0501_C04_009M","Foreign born; Naturalized citizen!!Margin of Error!!55 to 64 years"
"S0501_C05_009E","Foreign born; Not a U.S. citizen!!Estimate!!55 to 64 years"
"S0501_C05_009M","Foreign born; Not a U.S. citizen!!Margin of Error!!55 to 64 years"
"S0501_C01_010E","Total!!Estimate!!65 to 74 years"
"S0501_C01_010M","Total!!Margin of Error!!65 to 74 years"
"S0501_C02_010E","Native!!Estimate!!65 to 74 years"
"S0501_C02_010M","Native!!Margin of Error!!65 to 74 years"
"S0501_C03_010E","Foreign born!!Estimate!!65 to 74 years"
"S0501_C03_010M","Foreign born!!Margin of Error!!65 to 74 years"
"S0501_C04_010E","Foreign born; Naturalized citizen!!Estimate!!65 to 74 years"
"S0501_C04_010M","Foreign born; Naturalized citizen!!Margin of Error!!65 to 74 years"
"S0501_C05_010E","Foreign born; Not a U.S. citizen!!Estimate!!65 to 74 years"
"S0501_C05_010M","Foreign born; Not a U.S. citizen!!Margin of Error!!65 to 74 years"
"S0501_C01_011E","Total!!Estimate!!75 to 84 years"
"S0501_C01_011M","Total!!Margin of Error!!75 to 84 years"
"S0501_C02_011E","Native!!Estimate!!75 to 84 years"
"S0501_C02_011M","Native!!Margin of Error!!75 to 84 years"
"S0501_C03_011E","Foreign born!!Estimate!!75 to 84 years"
"S0501_C03_011M","Foreign born!!Margin of Error!!75 to 84 years"
"S0501_C04_011E","Foreign born; Naturalized citizen!!Estimate!!75 to 84 years"
"S0501_C04_011M","Foreign born; Naturalized citizen!!Margin of Error!!75 to 84 years"
"S0501_C05_011E","Foreign born; Not a U.S. citizen!!Estimate!!75 to 84 years"
"S0501_C05_011M","Foreign born; Not a U.S. citizen!!Margin of Error!!75 to 84 years"
"S0501_C01_012E","Total!!Estimate!!85 years and over"
"S0501_C01_012M","Total!!Margin of Error!!85 years and over"
"S0501_C02_012E","Native!!Estimate!!85 years and over"
"S0501_C02_012M","Native!!Margin of Error!!85 years and over"
"S0501_C03_012E","Foreign born!!Estimate!!85 years and over"
"S0501_C03_012M","Foreign born!!Margin of Error!!85 years and over"
"S0501_C04_012E","Foreign born; Naturalized citizen!!Estimate!!85 years and over"
"S0501_C04_012M","Foreign born; Naturalized citizen!!Margin of Error!!85 years and over"
"S0501_C05_012E","Foreign born; Not a U.S. citizen!!Estimate!!85 years and over"
"S0501_C05_012M","Foreign born; Not a U.S. citizen!!Margin of Error!!85 years and over"
"S0501_C01_013E","Total!!Estimate!!Median age (years)"
"S0501_C01_013M","Total!!Margin of Error!!Median age (years)"
"S0501_C02_013E","Native!!Estimate!!Median age (years)"
"S0501_C02_013M","Native!!Margin of Error!!Median age (years)"
"S0501_C03_013E","Foreign born!!Estimate!!Median age (years)"
"S0501_C03_013M","Foreign born!!Margin of Error!!Median age (years)"
"S0501_C04_013E","Foreign born; Naturalized citizen!!Estimate!!Median age (years)"
"S0501_C04_013M","Foreign born; Naturalized citizen!!Margin of Error!!Median age (years)"
"S0501_C05_013E","Foreign born; Not a U.S. citizen!!Estimate!!Median age (years)"
"S0501_C05_013M","Foreign born; Not a U.S. citizen!!Margin of Error!!Median age (years)"
"S0501_C01_014E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race"
"S0501_C01_014M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race"
"S0501_C02_014E","Native!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race"
"S0501_C02_014M","Native!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race"
"S0501_C03_014E","Foreign born!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race"
"S0501_C03_014M","Foreign born!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race"
"S0501_C04_014E","Foreign born; Naturalized citizen!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race"
"S0501_C04_014M","Foreign born; Naturalized citizen!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race"
"S0501_C05_014E","Foreign born; Not a U.S. citizen!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race"
"S0501_C05_014M","Foreign born; Not a U.S. citizen!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race"
"S0501_C01_015E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White"
"S0501_C01_015M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White"
"S0501_C02_015E","Native!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White"
"S0501_C02_015M","Native!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White"
"S0501_C03_015E","Foreign born!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White"
"S0501_C03_015M","Foreign born!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White"
"S0501_C04_015E","Foreign born; Naturalized citizen!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White"
"S0501_C04_015M","Foreign born; Naturalized citizen!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White"
"S0501_C05_015E","Foreign born; Not a U.S. citizen!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White"
"S0501_C05_015M","Foreign born; Not a U.S. citizen!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White"
"S0501_C01_016E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American"
"S0501_C01_016M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American"
"S0501_C02_016E","Native!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American"
"S0501_C02_016M","Native!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American"
"S0501_C03_016E","Foreign born!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American"
"S0501_C03_016M","Foreign born!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American"
"S0501_C04_016E","Foreign born; Naturalized citizen!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American"
"S0501_C04_016M","Foreign born; Naturalized citizen!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American"
"S0501_C05_016E","Foreign born; Not a U.S. citizen!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American"
"S0501_C05_016M","Foreign born; Not a U.S. citizen!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American"
"S0501_C01_017E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native"
"S0501_C01_017M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native"
"S0501_C02_017E","Native!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native"
"S0501_C02_017M","Native!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native"
"S0501_C03_017E","Foreign born!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native"
"S0501_C03_017M","Foreign born!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native"
"S0501_C04_017E","Foreign born; Naturalized citizen!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native"
"S0501_C04_017M","Foreign born; Naturalized citizen!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native"
"S0501_C05_017E","Foreign born; Not a U.S. citizen!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native"
"S0501_C05_017M","Foreign born; Not a U.S. citizen!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native"
"S0501_C01_018E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian"
"S0501_C01_018M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian"
"S0501_C02_018E","Native!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian"
"S0501_C02_018M","Native!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian"
"S0501_C03_018E","Foreign born!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian"
"S0501_C03_018M","Foreign born!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian"
"S0501_C04_018E","Foreign born; Naturalized citizen!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian"
"S0501_C04_018M","Foreign born; Naturalized citizen!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian"
"S0501_C05_018E","Foreign born; Not a U.S. citizen!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian"
"S0501_C05_018M","Foreign born; Not a U.S. citizen!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian"
"S0501_C01_019E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander"
"S0501_C01_019M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander"
"S0501_C02_019E","Native!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander"
"S0501_C02_019M","Native!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander"
"S0501_C03_019E","Foreign born!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander"
"S0501_C03_019M","Foreign born!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander"
"S0501_C04_019E","Foreign born; Naturalized citizen!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander"
"S0501_C04_019M","Foreign born; Naturalized citizen!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander"
"S0501_C05_019E","Foreign born; Not a U.S. citizen!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander"
"S0501_C05_019M","Foreign born; Not a U.S. citizen!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander"
"S0501_C01_020E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race"
"S0501_C01_020M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race"
"S0501_C02_020E","Native!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race"
"S0501_C02_020M","Native!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race"
"S0501_C03_020E","Foreign born!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race"
"S0501_C03_020M","Foreign born!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race"
"S0501_C04_020E","Foreign born; Naturalized citizen!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race"
"S0501_C04_020M","Foreign born; Naturalized citizen!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race"
"S0501_C05_020E","Foreign born; Not a U.S. citizen!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race"
"S0501_C05_020M","Foreign born; Not a U.S. citizen!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race"
"S0501_C01_021E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S0501_C01_021M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S0501_C02_021E","Native!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S0501_C02_021M","Native!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S0501_C03_021E","Foreign born!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S0501_C03_021M","Foreign born!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S0501_C04_021E","Foreign born; Naturalized citizen!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S0501_C04_021M","Foreign born; Naturalized citizen!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S0501_C05_021E","Foreign born; Not a U.S. citizen!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S0501_C05_021M","Foreign born; Not a U.S. citizen!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S0501_C01_022E","Total!!Estimate!!Hispanic or Latino origin (of any race)"
"S0501_C01_022M","Total!!Margin of Error!!Hispanic or Latino origin (of any race)"
"S0501_C02_022E","Native!!Estimate!!Hispanic or Latino origin (of any race)"
"S0501_C02_022M","Native!!Margin of Error!!Hispanic or Latino origin (of any race)"
"S0501_C03_022E","Foreign born!!Estimate!!Hispanic or Latino origin (of any race)"
"S0501_C03_022M","Foreign born!!Margin of Error!!Hispanic or Latino origin (of any race)"
"S0501_C04_022E","Foreign born; Naturalized citizen!!Estimate!!Hispanic or Latino origin (of any race)"
"S0501_C04_022M","Foreign born; Naturalized citizen!!Margin of Error!!Hispanic or Latino origin (of any race)"
"S0501_C05_022E","Foreign born; Not a U.S. citizen!!Estimate!!Hispanic or Latino origin (of any race)"
"S0501_C05_022M","Foreign born; Not a U.S. citizen!!Margin of Error!!Hispanic or Latino origin (of any race)"
"S0501_C01_023E","Total!!Estimate!!White alone, not Hispanic or Latino"
"S0501_C01_023M","Total!!Margin of Error!!White alone, not Hispanic or Latino"
"S0501_C02_023E","Native!!Estimate!!White alone, not Hispanic or Latino"
"S0501_C02_023M","Native!!Margin of Error!!White alone, not Hispanic or Latino"
"S0501_C03_023E","Foreign born!!Estimate!!White alone, not Hispanic or Latino"
"S0501_C03_023M","Foreign born!!Margin of Error!!White alone, not Hispanic or Latino"
"S0501_C04_023E","Foreign born; Naturalized citizen!!Estimate!!White alone, not Hispanic or Latino"
"S0501_C04_023M","Foreign born; Naturalized citizen!!Margin of Error!!White alone, not Hispanic or Latino"
"S0501_C05_023E","Foreign born; Not a U.S. citizen!!Estimate!!White alone, not Hispanic or Latino"
"S0501_C05_023M","Foreign born; Not a U.S. citizen!!Margin of Error!!White alone, not Hispanic or Latino"
"S0501_C01_024E","Total!!Estimate!!HOUSEHOLD TYPE!!In married-couple family"
"S0501_C01_024M","Total!!Margin of Error!!HOUSEHOLD TYPE!!In married-couple family"
"S0501_C02_024E","Native!!Estimate!!HOUSEHOLD TYPE!!In married-couple family"
"S0501_C02_024M","Native!!Margin of Error!!HOUSEHOLD TYPE!!In married-couple family"
"S0501_C03_024E","Foreign born!!Estimate!!HOUSEHOLD TYPE!!In married-couple family"
"S0501_C03_024M","Foreign born!!Margin of Error!!HOUSEHOLD TYPE!!In married-couple family"
"S0501_C04_024E","Foreign born; Naturalized citizen!!Estimate!!HOUSEHOLD TYPE!!In married-couple family"
"S0501_C04_024M","Foreign born; Naturalized citizen!!Margin of Error!!HOUSEHOLD TYPE!!In married-couple family"
"S0501_C05_024E","Foreign born; Not a U.S. citizen!!Estimate!!HOUSEHOLD TYPE!!In married-couple family"
"S0501_C05_024M","Foreign born; Not a U.S. citizen!!Margin of Error!!HOUSEHOLD TYPE!!In married-couple family"
"S0501_C01_025E","Total!!Estimate!!HOUSEHOLD TYPE!!In other households"
"S0501_C01_025M","Total!!Margin of Error!!HOUSEHOLD TYPE!!In other households"
"S0501_C02_025E","Native!!Estimate!!HOUSEHOLD TYPE!!In other households"
"S0501_C02_025M","Native!!Margin of Error!!HOUSEHOLD TYPE!!In other households"
"S0501_C03_025E","Foreign born!!Estimate!!HOUSEHOLD TYPE!!In other households"
"S0501_C03_025M","Foreign born!!Margin of Error!!HOUSEHOLD TYPE!!In other households"
"S0501_C04_025E","Foreign born; Naturalized citizen!!Estimate!!HOUSEHOLD TYPE!!In other households"
"S0501_C04_025M","Foreign born; Naturalized citizen!!Margin of Error!!HOUSEHOLD TYPE!!In other households"
"S0501_C05_025E","Foreign born; Not a U.S. citizen!!Estimate!!HOUSEHOLD TYPE!!In other households"
"S0501_C05_025M","Foreign born; Not a U.S. citizen!!Margin of Error!!HOUSEHOLD TYPE!!In other households"
"S0501_C01_026E","Total!!Estimate!!Average household size"
"S0501_C01_026M","Total!!Margin of Error!!Average household size"
"S0501_C02_026E","Native!!Estimate!!Average household size"
"S0501_C02_026M","Native!!Margin of Error!!Average household size"
"S0501_C03_026E","Foreign born!!Estimate!!Average household size"
"S0501_C03_026M","Foreign born!!Margin of Error!!Average household size"
"S0501_C04_026E","Foreign born; Naturalized citizen!!Estimate!!Average household size"
"S0501_C04_026M","Foreign born; Naturalized citizen!!Margin of Error!!Average household size"
"S0501_C05_026E","Foreign born; Not a U.S. citizen!!Estimate!!Average household size"
"S0501_C05_026M","Foreign born; Not a U.S. citizen!!Margin of Error!!Average household size"
"S0501_C01_027E","Total!!Estimate!!Average family size"
"S0501_C01_027M","Total!!Margin of Error!!Average family size"
"S0501_C02_027E","Native!!Estimate!!Average family size"
"S0501_C02_027M","Native!!Margin of Error!!Average family size"
"S0501_C03_027E","Foreign born!!Estimate!!Average family size"
"S0501_C03_027M","Foreign born!!Margin of Error!!Average family size"
"S0501_C04_027E","Foreign born; Naturalized citizen!!Estimate!!Average family size"
"S0501_C04_027M","Foreign born; Naturalized citizen!!Margin of Error!!Average family size"
"S0501_C05_027E","Foreign born; Not a U.S. citizen!!Estimate!!Average family size"
"S0501_C05_027M","Foreign born; Not a U.S. citizen!!Margin of Error!!Average family size"
"S0501_C01_028E","Total!!Estimate!!MARITAL STATUS!!Population 15 years and over"
"S0501_C01_028M","Total!!Margin of Error!!MARITAL STATUS!!Population 15 years and over"
"S0501_C02_028E","Native!!Estimate!!MARITAL STATUS!!Population 15 years and over"
"S0501_C02_028M","Native!!Margin of Error!!MARITAL STATUS!!Population 15 years and over"
"S0501_C03_028E","Foreign born!!Estimate!!MARITAL STATUS!!Population 15 years and over"
"S0501_C03_028M","Foreign born!!Margin of Error!!MARITAL STATUS!!Population 15 years and over"
"S0501_C04_028E","Foreign born; Naturalized citizen!!Estimate!!MARITAL STATUS!!Population 15 years and over"
"S0501_C04_028M","Foreign born; Naturalized citizen!!Margin of Error!!MARITAL STATUS!!Population 15 years and over"
"S0501_C05_028E","Foreign born; Not a U.S. citizen!!Estimate!!MARITAL STATUS!!Population 15 years and over"
"S0501_C05_028M","Foreign born; Not a U.S. citizen!!Margin of Error!!MARITAL STATUS!!Population 15 years and over"
"S0501_C01_029E","Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Never married"
"S0501_C01_029M","Total!!Margin of Error!!MARITAL STATUS!!Population 15 years and over!!Never married"
"S0501_C02_029E","Native!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Never married"
"S0501_C02_029M","Native!!Margin of Error!!MARITAL STATUS!!Population 15 years and over!!Never married"
"S0501_C03_029E","Foreign born!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Never married"
"S0501_C03_029M","Foreign born!!Margin of Error!!MARITAL STATUS!!Population 15 years and over!!Never married"
"S0501_C04_029E","Foreign born; Naturalized citizen!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Never married"
"S0501_C04_029M","Foreign born; Naturalized citizen!!Margin of Error!!MARITAL STATUS!!Population 15 years and over!!Never married"
"S0501_C05_029E","Foreign born; Not a U.S. citizen!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Never married"
"S0501_C05_029M","Foreign born; Not a U.S. citizen!!Margin of Error!!MARITAL STATUS!!Population 15 years and over!!Never married"
"S0501_C01_030E","Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated"
"S0501_C01_030M","Total!!Margin of Error!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated"
"S0501_C02_030E","Native!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated"
"S0501_C02_030M","Native!!Margin of Error!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated"
"S0501_C03_030E","Foreign born!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated"
"S0501_C03_030M","Foreign born!!Margin of Error!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated"
"S0501_C04_030E","Foreign born; Naturalized citizen!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated"
"S0501_C04_030M","Foreign born; Naturalized citizen!!Margin of Error!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated"
